ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
b2AR-decoy_1087,C[C@]12CC[C@@H]3[C@H]4CC/C(=N\Oc5ccc([N+](=O)[O-])cc5)C[C@@H]4CC[C@H]3[C@@H]1CC[C@@H]2O,-11.751,-9.723438011178516,-8.700246088469882,-7.70933694954279,-7.647315787273158,-7.039868893096184,-6.419070045242071,-6.233417845601446,-8.483730518260666,-7.969578071486307,0
b2AR-decoy_1088,CC(=O)c1ccc(c2cc(c3cnn(CC#N)c3c3cc(C)cc(O)c3)ccn2)cc1,-10.593,-8.256438011178515,-8.02024608846988,-6.688336949542789,-6.338315787273158,-5.962868893096184,-4.912070045242071,-4.917417845601447,-6.287730518260666,-6.720578071486306,0
b2AR-decoy_1089,COc1cccc(c2ccc(Oc3cncc4sc(C5=NNN=N5)cc34)cc2)c1,-9.979,-7.959438011178515,-7.872246088469881,-6.514336949542789,-6.304315787273158,-4.840868893096184,-5.592070045242071,-5.028417845601448,-6.554730518260666,-6.265578071486306,0
b2AR-decoy_109,CC1(C)O[C@H]2C3=C([C@H]2O1)[C@@H](c1ccccc1)[C@H](CCc1ccccc1)C=CC=C3CO,-8.308,-6.159438011178516,-5.558246088469881,-4.5863369495427895,-4.388315787273158,-3.885868893096185,-3.3170700452420707,-3.3064178456014472,-4.789730518260666,-5.414578071486307,0
b2AR-decoy_1090,N#Cc1c(/N=C/c2c[nH]c3cccc([N+](=O)[O-])c23)sc2c1CCCCCC2,-7.496,-5.206438011178515,-4.8502460884698815,-3.93333694954279,-3.4213157872731585,-2.976868893096185,-2.5830700452420707,-2.438417845601447,-3.874730518260666,-4.147578071486307,0
b2AR-decoy_1091,Cc1ccc(NC(=O)c2nc[nH]c2C(=O)Nc2ccccc2)c(c2ccsc2)c1,-10.707,-8.586438011178515,-7.556246088469882,-6.838336949542789,-6.050315787273158,-5.542868893096184,-4.96507004524207,-4.918417845601447,-6.343730518260667,-6.478578071486307,0
b2AR-decoy_1092,Cc1[nH]c2ccc(c3nnc(SCC(=O)c4ccccc4F)o3)cc2c1C,-10.523,-8.900438011178515,-7.936246088469881,-7.10033694954279,-6.565315787273159,-5.162868893096185,-5.145070045242072,-4.831417845601447,-7.167730518260667,-7.662578071486306,0
b2AR-decoy_1093,CCCc1n[nH]c2c1C(c1ccc(Cl)cc1)c1c(nc3c(c1N)CSCC3)O2,-9.898,-7.084438011178515,-7.0762460884698815,-5.87833694954279,-5.669315787273158,-5.485868893096185,-5.174070045242072,-4.135417845601447,-5.669730518260666,-6.564578071486306,0
b2AR-decoy_1094,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2Cc3cccn3-c3ccccc32)cc1,-11.143,-8.823438011178515,-8.85324608846988,-7.264336949542789,-7.295315787273159,-6.676868893096184,-5.518070045242071,-5.468417845601447,-6.343730518260667,-7.734578071486306,0
b2AR-decoy_1095,COc1ccc(c2ccc(C(=O)Nc3ccc(OC)nc3)c3occc32)c(C)c1,-8.245,-7.558438011178515,-5.686246088469881,-5.326336949542791,-4.931315787273158,-3.7498688930961848,-4.006070045242071,-3.4614178456014475,-6.0357305182606655,-5.549578071486307,0
b2AR-decoy_1096,CCn1cc(/C=N/Nc2nc(c3cc4ccccc4oc3=O)cs2)c2ccccc21,-10.688,-9.281438011178516,-8.150246088469881,-7.140336949542789,-6.486315787273158,-6.345868893096185,-5.968070045242071,-5.372417845601447,-7.246730518260666,-8.094578071486307,0
b2AR-decoy_1097,O=C(NCc1cccs1)c1ccc2nc(c3ccco3)c(c3ccco3)nc2c1,-8.962,-7.490438011178515,-6.375246088469881,-5.81733694954279,-5.185315787273158,-4.2838688930961855,-3.980070045242071,-4.205417845601447,-5.815730518260667,-6.684578071486307,0
b2AR-decoy_1098,CC(C)(C)c1cc(NC(=O)[C@]2(C)CCCN2c2ccc(C(F)(F)F)cc2)no1,-10.208,-8.160438011178515,-7.884246088469881,-6.25733694954279,-6.447315787273158,-6.0708688930961845,-4.77607004524207,-5.033417845601447,-6.852730518260666,-7.104578071486307,0
b2AR-decoy_1099,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1C(F)(F)F,-8.262,-6.758438011178516,-5.979246088469881,-5.10333694954279,-5.445315787273158,-4.389868893096185,-3.8000700452420713,-4.135417845601447,-5.484730518260667,-5.569578071486307,0
b2AR-decoy_11,COc1ccc2[nH]cc(/C(C#N)=C/c3cccc4cnccc34)c2c1,-8.851,-6.526438011178515,-6.468246088469881,-5.4373369495427895,-5.354315787273158,-5.310868893096185,-4.70907004524207,-4.018417845601446,-6.0757305182606665,-5.9895780714863065,0
b2AR-decoy_110,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCC(C)(C)O)C[C@@H](O)C[C@@H]1O,-9.827,-8.125438011178515,-7.403246088469881,-6.63833694954279,-6.210315787273158,-5.731868893096184,-5.27307004524207,-5.141417845601447,-7.513730518260667,-6.812578071486307,0
b2AR-decoy_1100,CC12CCC(OCC(=O)Nc3ccc(c4nc5cc(C#N)ccc5o4)cc3)(CC1)CC2,-10.703,-9.084438011178516,-7.32824608846988,-6.58133694954279,-5.481315787273159,-5.348868893096185,-5.284070045242071,-4.042417845601447,-5.898730518260667,-7.559578071486307,0
b2AR-decoy_1101,Oc1c(/C=N/c2ccc(Oc3ccccc3)cc2)cnn1c1cccc(Cl)n1,-10.356,-8.828438011178514,-7.606246088469881,-6.534336949542789,-6.061315787273159,-5.626868893096185,-5.235070045242072,-4.617417845601446,-6.919730518260666,-7.669578071486306,0
b2AR-decoy_1102,Cc1ccc(C2=Nc3ccccc3N(CC(=O)Nc3ccccc3C)C(=O)C2)cc1C,-9.424,-7.560438011178515,-6.591246088469882,-5.90033694954279,-5.507315787273159,-4.896868893096185,-4.32107004524207,-4.419417845601448,-6.527730518260666,-6.325578071486307,0
b2AR-decoy_1103,O=C1/C(=C/c2ccc(O)cc2)Cc2ccccc2/C1=C\c1ccc([N+](=O)[O-])cc1,-11.843,-9.243438011178515,-9.107246088469882,-7.774336949542789,-7.695315787273158,-6.895868893096186,-6.521070045242071,-6.207417845601446,-7.478730518260667,-8.069578071486307,0
b2AR-decoy_1104,CC(=O)Nc1cccc2c1Cc1c-2[nH]nc1c1ccc(c2ccc(O)cc2)cc1,-9.442,-8.097438011178514,-7.098246088469882,-6.41633694954279,-5.565315787273159,-5.191868893096185,-4.93307004524207,-4.756417845601447,-7.204730518260666,-7.188578071486306,0
b2AR-decoy_1105,CCOc1ccc2nc(/N=C/c3c(C)nn(c4ccc(C)cc4)c3O)sc2c1,-10.463,-8.381438011178515,-7.700246088469882,-7.249336949542791,-6.196315787273159,-5.307868893096185,-5.172070045242071,-4.855417845601448,-6.340730518260667,-7.223578071486306,0
b2AR-decoy_1106,COc1ccc(c2ccc(Oc3cncc4sc(C5=NNN=N5)cc34)cc2)cc1,-9.421,-7.306438011178516,-7.482246088469882,-6.274336949542789,-5.515315787273158,-4.691868893096185,-5.120070045242072,-4.667417845601447,-5.8577305182606665,-6.758578071486307,0
b2AR-decoy_1107,CCCCc1ccc(n2nc3cc(Cl)c(C(=O)NC(C)(C)C)cc3n2)cc1,-8.385,-6.878438011178515,-5.487246088469881,-4.998336949542789,-4.710315787273158,-3.694868893096185,-4.125070045242071,-2.872417845601447,-5.563730518260666,-5.934578071486307,0
