ligand_id,SMILES,BE_min,is_active
b2AR-decoy_164,C[C@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=O)(CCO)=NS(=O)(=O)CC[Si](C)(C)C)cc2)ncc1Br,-8.79367543463306,0
b2AR-decoy_238,CCCNC(=O)CCC(=O)O[C@H](C(=O)N1CSC(C)(C)[C@H]1C(=O)NC(C)(C)C)[C@H](Cc1ccccc1)NC(=O)COc1c(C)cccc1C,-8.79073512695276,0
b2AR-decoy_3089,Cc1ccc(CSc2nc3ccncc3n2Cc2nc(c3ccc(Cl)cc3)oc2C)cc1,-8.78922759946833,0
b2AR-decoy_663,CC(C(=O)N/N=C/c1c(F)cccc1F)c1ccc(c2ccccc2)c(F)c1,-8.78691701571744,0
b2AR-decoy_2978,Cc1oc(c2ccccc2F)nc1Cn1c(SCc2ccccc2F)nc2ccncc21,-8.78598988737247,0
b2AR-decoy_1234,Cc1cc2nnc(SCc3cn4ccccc4n3)n2c2ccccc12,-8.78463505252573,0
b2AR-decoy_937,CC1CCC/C(=N\Nc2nc(c3ccc4ccccc4c3)cs2)C1,-8.78090715819547,0
b2AR-decoy_1935,CC(O)(CSc1ccc(OC(F)(F)F)cc1)C(=O)Nc1ccc([N+](=O)[O-])cc1C(F)(F)F,-8.7688450541961,0
b2AR-decoy_165,C=CC[C@@H](CC(=O)N(CCO)Cc1ccccc1)C(=O)N[C@@H](COC(=O)[C@H](CC=C)CC(=O)OC(C)(C)C)Cc1c[nH]c2ccccc12,-8.76341359898996,0
b2AR-decoy_2532,COc1ccn2nc(C)c(C(=O)NCc3ccc(c4ccc(OC(F)(F)F)cc4)cc3F)c2c1,-8.75165947098247,0
b2AR-decoy_1554,CC(C)C(OC(=O)c1ccccc1)C(C)(C)COC(=O)c1ccccc1,-8.74943961110993,0
b2AR-decoy_1143,Oc1ccccc1/C=N/c1ccc(Oc2ccc(Cl)cc2)c(Cl)c1,-8.74540053253917,0
b2AR-decoy_3022,C#CCNC(=O)C1=C[C@H](c2csc3ccccc23)C[C@H](OCc2ccc(CO)cc2)O1,-8.73919122943712,0
b2AR-decoy_2165,O=C1NC(=O)/C(=C\c2ccc(OCc3ccc(c4ccccc4)cc3)cc2)S1,-8.73769861143712,0
b2AR-decoy_1768,Cc1ccc(NC(=O)CN2C(=O)C(c3ccc(C(C)(C)C)cc3)=NC2(C)C)cc1,-8.73326236871219,0
b2AR-decoy_2318,Cn1c(C(F)(F)c2nc3c(F)cc(F)cc3[nH]2)nc2ccc(C(N)=O)cc21,-8.7284735523974,0
b2AR-decoy_3182,COc1cc(OC)c2c(c1)oc(=O)cc2c1cccc(c2ccc(C(F)(F)F)cc2)c1,-8.72828325558423,0
b2AR-decoy_2999,COc1ccc(C(C(=O)Nc2ccc3c(c2)CCC3(C)C)N(C)C(=O)c2ccc(=O)[nH]c2)cc1,-8.71976480315651,0
b2AR-decoy_1957,Cc1ccc(c2nnc(SCC(=O)c3ccc(O)c(O)c3)n2Cc2ccco2)cc1,-8.70804477923195,0
b2AR-decoy_1010,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccc(C(C)(C)C)cc1)c1ccc(F)cc1,-8.70209446142455,0
b2AR-decoy_2028,CC(=NNC(=O)c1cc(Br)ccc1O)c1cc2cc(O)ccc2n1C,-8.70176824878907,0
b2AR-decoy_3062,CC(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)(C(F)(F)F)C(F)(F)F,-8.69517684120402,0
b2AR-decoy_2160,Cc1c(Cc2ccccc2)nc(SCc2ccc3ccccc3c2)[nH]c1=O,-8.68330137579752,0
b2AR-decoy_1312,O=C(/C=C/c1ccc(c2ccccc2)cc1)c1ccc(O)cc1O,-8.68169468823292,0
b2AR-decoy_1803,CCN(CC)c1ccc(NC(=O)CSc2ncnc3sc(C)c(C)c23)cc1C,-8.67816439911329,0
b2AR-decoy_1855,CCCNC(=O)c1cc2c(c(c3cccc(c4ccc(C#N)cc4)c3)n1)[C@@H](CCO)N(C(=O)CC)C2,-8.67665888553299,0
b2AR-decoy_2253,O=c1c(Cc2ccc(c3ccc(O)c(O)c3)cc2)c(c2ccc(O)cc2)oc2ccccc12,-8.67332354956153,0
b2AR-decoy_1894,CC(C)=CCC/C(C)=C/Cc1c(O)ccc(c2coc3cc(O)cc(O)c3c2=O)c1O,-8.66001660087408,0
b2AR-decoy_29,CN1C(=O)/C(=C/c2cc(N=Nc3ccccc3)ccc2O)SC1=S,-8.65579857245474,0
b2AR-decoy_605,CC1(C)CCc2cc(C(=O)/C=C/c3ccc(F)c(F)c3)c(O)cc2O1,-8.65234594569804,0
b2AR-decoy_3117,COc1ccc([C@@H]2[C@@H]([C@H](O)CCc3ccccc3)OC(=O)N2c2ccc(F)cc2)c(O)c1,-8.64421972259688,0
b2AR-decoy_803,Cc1cc(O)c2c(c1C=O)OCC(CC[C@H]1[C@@H](C)CCCC1(C)C)=CC2,-8.63297170395385,0
b2AR-decoy_2913,Cc1cccc([C@H]2CC[C@H](CNC(=O)c3ccc(c4nc5cc(C#N)cc(C(C)C)c5o4)cc3)CC2)c1,-8.63136750223319,0
b2AR-decoy_3140,COc1cccc2c1OCC(C(=O)N[C@H](c1ncc(c3ccc(Br)cc3)[nH]1)C(C)C)=C2,-8.62940438949501,0
b2AR-decoy_221,C=CCO[C@@H]1[C@H](O)[C@H](Oc2ccc(I)cc2)O[C@@H](COS(=O)(=O)c2ccc3ccccc3c2)[C@H]1O,-8.61850981648471,0
b2AR-decoy_193,CC(C)C[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)B1O[C@@H]2[C@@H](C[C@H]3C[C@@H]2C3(C)C)O1,-8.61837828471403,0
b2AR-decoy_1840,O=C(/C=C/c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(F)cc2)cc1)NO,-8.61430109866649,0
b2AR-decoy_2642,COc1ccc(c2csc(N3N=C(c4ccc(F)cc4)CC3c3ccc4c(c3)OCCO4)n2)cc1,-8.60590213104159,0
b2AR-decoy_1067,COc1cc(OC)c(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)c(OC)c1,-8.60072146288961,0
b2AR-decoy_224,COC(=O)[C@H](C)NP(=O)(OC[C@@H]1C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1)Oc1cccc(S(F)(F)(F)(F)F)c1,-8.59619417522467,0
b2AR-decoy_2189,O=C(N/N=C/c1cccc2cnccc12)C1CC1c1ccc(c2ccccc2)cc1,-8.59373862936107,0
b2AR-decoy_838,CC(=O)Nc1cccc(c2c(O)ccc3cc(c4cccc(O)c4)ccc32)c1,-8.58953788714154,0
b2AR-decoy_2076,CCCC(=CCc1c(O)cc2c(c1O)C(=O)CC(c1ccc(O)cc1)O2)CCC,-8.5888024419153,0
b2AR-decoy_2570,C[C@H]1C[C@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4CC[C@@]32C)OC(=O)[C@@H]1C,-8.5828011889397,0
b2AR-decoy_219,O=C1N[C@@H](Cc2ccccc2)COC(=O)[C@H](Cc2ccc(F)cc2)CC/C=C/C[C@H]1CC(=O)N(CCO)Cc1ccccc1,-8.5751006523781,0
b2AR-decoy_2331,C/C(=C\c1ccc(Cl)cc1)S(=O)(=O)Nc1cccc(F)c1S(N)(=O)=O,-8.57498886861278,0
b2AR-decoy_658,C/C(=N\Nc1csc(c2ccc3c(c2)CCC3)n1)c1ccccc1,-8.56880945691243,0
b2AR-decoy_1616,C=C1C(=O)O[C@@H]2C[C@]3(C)C(CCC(C)OC(=O)c4ccc(OC)cc4)[C@@H]3C[C@H]12,-8.56867619754329,0
b2AR-decoy_2800,CCC/C(=N\OC(Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(Cl)cc1Cl,-8.56772619357906,0
b2AR-decoy_2322,O=C(c1cc(Sc2ccccc2O)c(O)cc1O)N1Cc2ccccc2C1,-8.5590915025404,0
b2AR-decoy_1610,Cc1nc2cnccc2n1CCCOC1CCC(c2ccc(F)cc2)O1,-8.55086721581411,0
b2AR-decoy_1167,C[C@@H](Oc1ccc(n2ccnc2)cc1)C(=O)Nc1ccc(c2ccccc2)cc1,-8.54201510107883,0
b2AR-decoy_636,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(Cl)cc3)c2O)O1,-8.53942388929142,0
b2AR-decoy_439,CC1(C)C=Cc2cc(/C=C/C(=O)c3ccc(O)cc3O)ccc2O1,-8.53908568347862,0
b2AR-decoy_856,COc1ccc(c2csc(N/N=C(/C)c3cccs3)n2)cc1,-8.53755294069755,0
b2AR-decoy_977,COc1ccc2cc(C(C)c3nnc(c4ccc(O)cc4)o3)ccc2c1,-8.5307428412183,0
b2AR-decoy_2617,c1ccc(Cn2c(SCc3ccc4ccccc4c3)nnc2c2ccsc2)cc1,-8.53034396387108,0
b2AR-decoy_494,CC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1,-8.53017937306649,0
b2AR-decoy_2763,Cc1cc(C)c(c2ccccn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,-8.5208941928109,0
b2AR-decoy_3002,C#Cc1cccc(C(=O)NCc2nc(c3cccc(NC(=O)c4ccccn4)c3)oc2C)c1,-8.51446594225471,0
b2AR-decoy_1217,C/C(=N/Nc1nc(c2ccc(Cl)cc2)cs1)c1cccs1,-8.51089057057716,0
b2AR-decoy_3011,C[C@H](NC(=O)c1cc[nH]n1)c1ccc(OC2CCN(c3cccc(C(F)(F)F)n3)C2)cc1,-8.50846987527034,0
b2AR-decoy_2337,CCCc1ccc(Cn2cc([C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c3ccccc32)cc1,-8.50243214728827,0
b2AR-decoy_1245,CCOc1ccc2c(C)cc(=O)oc2c1COC(=O)/C=C/c1ccc(OC)cc1,-8.49730357286367,0
b2AR-decoy_88,CCC(O)(c1cn(Cc2ccc3c(c2)scc3c2ccccc2)nn1)C(F)(F)F,-8.49367732988436,0
b2AR-decoy_2415,C=C(C)C(=O)c1ccc(OCc2nc(c3ccc(C(F)(F)F)cc3)cs2)c(C)c1C,-8.48975104755521,0
b2AR-decoy_1061,COc1cc(OC)c(/C=C/C(=O)c2ccc(C(F)(F)F)cc2)c(OC)c1,-8.47973687914807,0
b2AR-decoy_2273,O=c1cc(c2ccccc2)oc(O)c1C(Sc1ccc2ccccc2c1)c1ccccc1,-8.4734185564352,0
b2AR-decoy_861,N#Cc1ccc(c2csc(NN=C3CCCCCC3)n2)cc1,-8.46718334156102,0
b2AR-decoy_2473,Cc1oc(c2cccc(Cl)c2)nc1CSc1nnc(C)n2c1cc1occc12,-8.46500225443478,0
b2AR-decoy_144,CCOc1cc(F)ccc1/C=C/C(=O)c1ccc2c(c1O)C=CC(C)(C)O2,-8.4623198515652,0
