ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
b2AR-decoy_2434,C/C(=N\OC(=O)c1cccnc1)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-9.11656778837763,-5.748390239851085,-4.104590905716721,-3.83565717247569,-2.852834006078319,-1.5870378858954748,-1.910503802559571,-1.5837234985356767,-2.896271547429456,-1.4598967683845872,0
b2AR-decoy_2358,C/C(=N\NC(N)=S)c1ccc(OCc2ncc(C(F)(F)F)cc2Cl)cc1,-9.10782871910263,-4.794831976970356,-5.344261457742701,-1.0546077736466295,-4.042900514539949,-3.333809826999575,0.4301935034877493,-3.273917586044197,-4.056222695961476,-4.582395940428707,0
b2AR-decoy_3080,Cn1cncc1C(OCc1ccc(C#N)cc1)c1ccc(C#N)c(c2cc3ccccc3s2)c1,-9.08976313227313,-4.945750248735395,-5.913110411844372,-4.70762735315759,-3.967257471700308,-2.0035389451071746,-3.8085427945210206,-4.340344424979417,-4.437820812666047,-4.2988269134114265,0
b2AR-decoy_2346,CC(C)(C)c1ccc(Cn2cc([C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c3ccccc32)cc1,-9.06890012091049,-6.383077475725685,-6.439206225560021,-4.781382381248259,-3.289080251227788,-4.362302888374824,-4.560023352819931,-3.8935425158782575,-4.967969960831627,-5.919223721512756,0
b2AR-decoy_1532,O=C(O/N=C(\Cn1ccnc1)c1ccc2ccccc2c1)c1ccc(c2ccccc2)cc1,-9.04698444440643,-4.421928133246415,,-3.96051455063055,-3.018488795915639,-1.359962871681665,-4.424846823389791,-1.5427080619827267,-2.264750751960296,-5.027544254254186,0
b2AR-decoy_467,Cc1cc(c2ccc(C(=O)c3cccc(O)c3)nc2)ccc1O,-9.04438126222745,-6.086344931214515,-6.144784369708511,-3.8422552326177097,-4.496803737642688,-3.1427239482628444,-3.234910894147771,-3.867453879907467,-4.327151120551177,-4.535637015874967,0
b2AR-decoy_2856,CN(C)c1ccc(/C=C2/CC[C@@]3(C)[C@@H](CC[C@@H]3c3ccc4ccncc4c3)C2)cc1,-9.0359920695118,-6.938437289728945,-5.566556105493151,-5.301588217633031,-5.781535854152738,-4.288076872436184,-3.434445436477521,-3.7419550143378366,-3.685818605587096,-5.173228379501957,0
b2AR-decoy_158,COc1cccc(COc2ccc(C(=O)c3c(OCc4cccc(OC)c4)cc(OC)cc3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)c1,-9.02888401677209,-6.657729339660966,-5.287672209228531,-4.5018862035559,-4.066966391205058,-5.238391449640874,-4.077373689709601,-3.635755885007267,-5.223803592810766,-5.665160854973166,0
b2AR-decoy_136,O=C1NC(=S)S/C1=C/c1cccc(Oc2ccc(C(F)(F)F)cc2)c1,-9.02467075728549,-5.848224264968475,-5.964717477781291,-4.56226681856505,-4.450783551820819,-3.8983083609294846,-5.0662607458626905,-3.251665099602687,-5.139005318131496,-4.956248414308247,0
b2AR-decoy_1823,C=CCn1c(CCNC(=O)c2ccccc2F)nnc1SCC(=O)Nc1nc2ccccc2s1,-9.02153571860719,-5.364852044399585,-5.186923933734121,-1.95132973779653,-3.095556315045709,-0.9299805494889944,-0.2879851106223512,-3.342356332715127,-3.970797568864796,-4.713662911456387,0
