ligand_id,SMILES,dock38_score,is_active
ASD01810002,COc1cccc2c1c1c3c(cc4c1n2C(=O)CC4)CNCC3,-24.05,1
ASD01820114,O=C(NC(C(F)(F)F)C(F)(F)F)c1cn(-c2ncc(F)cc2F)c2nc(N3CC4CC4(O)C3)ccc2c1=O,-23.98,1
ASD01810001,O=C1CCc2cc3c(c4c5ccccc5n1c24)CCNC3,-23.86,1
ASD01820174,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2ccc(C(F)(F)F)cc2C1=O)CCCN1C(=O)c2ccc(C(F)(F)F)cc2C1=O,-23.78,1
ASD01810338,CCCCCCOc1nsnc1C1=CCCN(C)C1,-23.45,1
ASD01820176,CC(C)(C)c1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3ccc(C(C)(C)C)cc3C1=O)C2=O,-23.35,1
ASD01830012,O=C1CC2OCC=C3C[N+]4(CC5CCCCC5)CCC56c7ccccc7N1C5C2C3CC64,-23.14,1
ASD01820166,CC(C)(C)c1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3ccccc3C1=O)C2=O,-22.77,1
ASD01830016,O=C1CC2OCC=C3C[N+]4([O-])CCC56c7ccccc7N1C5C2C3CC64,-22.49,1
ASD01820137,C[N+]12CCC34c5ccccc5N5C=C6C7CC8C9(CC[N+]8(C)CC7=CCO)c7ccccc7N(C=C(C(CC31)C(=CCO)C2)C54)C69,-22.45,1
ASD01810027,CC1(C)CC(=O)n2c3cccc(O)c3c3c4c(cc1c32)CNCC4,-22.42,1
ASD01810025,COc1cc2c3c4c(c(COC(C)=O)c5c3n(c2cc1OC)C(=O)CC5)CNCC4,-22.05,1
ASD01820062,O=C1c2ccccc2C(=O)N1CON=Cc1cc[n+](CCCCCC[n+]2ccc(C=NOCN3C(=O)c4ccccc4C3=O)cc2)cc1,-21.78,1
