ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,is_active
M2R-decoy_2791,COc1ccc(NC(=O)CSc2oc(c3cccs3)nc2S(=O)(=O)c2ccc(Br)cc2)c(OC)c1,-9.18,-8.446633728738218,-8.324618195096406,-7.21855254563703,-6.322700306037418,-6.363024196616026,-5.965118738656839,-6.2774389503275625,-6.188951960914274,0
M2R-decoy_2792,CCCCNC(=O)CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C[C@@H](OC(C)=O)[C@@H]2[C@@H]([C@]4(C)CC[C@H](C(C)C)O4)CC[C@]23C)C1(C)C,-8.067,-7.234633728738219,-7.012618195096406,-6.35755254563703,-6.642700306037417,-6.368024196616027,-5.924118738656839,-6.252438950327562,-5.928951960914274,0
M2R-decoy_2793,OC(CN(Cc1cccc(OC(F)(F)C(F)(F)F)c1)c1cccc(Oc2ccc(S)cc2)c1)C(F)(F)F,-10.185,-9.81363372873822,-9.999618195096406,-8.43655254563703,-7.024700306037417,-7.6170241966160255,-6.838118738656839,-7.212438950327563,-7.272951960914275,0
M2R-decoy_2794,COc1cc(OC)c([C@@H]2COc3c(ccc4c3C=CC(C)(C)O4)C2)cc1/C=C/C(=O)c1cc(OC)c(OC)c(OC)c1,-9.251,-9.812633728738218,-9.059618195096409,-7.853552545637029,-7.982700306037417,-7.315024196616026,-6.730118738656838,-6.728438950327563,-7.772951960914275,0
M2R-decoy_2795,CCOc1ccc(c2nc(NS(=O)(=O)c3ccsc3Cl)sc2c2cc(OC)c(OC)c(OC)c2)cc1,-8.034,-9.178633728738218,-7.803618195096407,-7.17655254563703,-6.3137003060374175,-5.160024196616026,-4.285118738656839,-6.268438950327562,-5.430951960914275,0
M2R-decoy_2796,C=C(c1ccc(OCCOc2ccc(C(=C)C3COC4(CCCCC4)OO3)cc2)cc1)C1COC2(CCCCC2)OO1,-10.859,-11.17263372873822,-10.805618195096406,-9.28255254563703,-9.787700306037417,-10.079024196616023,-9.913118738656838,-8.156438950327562,-9.103951960914276,0
M2R-decoy_2797,COc1cc(OC)c2c(c1OC)C=C(C(=O)c1ccccc1)C1(C=C(c3ccccc3)Oc3c(OC)c(OC)cc(OC)c31)O2,-7.943,-7.198633728738218,-7.4676181950964065,-7.29755254563703,-5.8907003060374175,-4.344024196616026,-5.56711873865684,-7.415438950327562,-5.896951960914274,0
M2R-decoy_2798,O=C(Nc1ncc(Cc2cccc(Cl)c2Cl)s1)c1ccc(CSc2nnc(c3ccncc3)n2c2ccccc2)cc1,-10.64,-10.322633728738218,-10.447618195096409,-8.08055254563703,-9.427700306037416,-8.825024196616026,-8.421118738656839,-8.149438950327562,-7.622951960914275,0
M2R-decoy_2799,Cc1cc(OCCCc2c3n(c4c2ccc(Cl)c4c2c(C)nn(C)c2C)C[C@H](C)N(Cc2ccc(C(=O)[O-])o2)C3=O)cc(C)c1Cl,-9.931,-9.56763372873822,-8.524618195096407,-8.26855254563703,-8.327700306037418,-7.944024196616025,-6.866118738656839,-7.249438950327562,-7.245951960914274,0
M2R-decoy_28,C=C(C)CNC(=S)N/N=C/C1=CCC2CC1C2(C)C,-8.407,-7.679633728738219,-7.602618195096406,-6.66655254563703,-5.544700306037417,-5.780024196616026,-4.855118738656839,-5.127438950327563,-5.163951960914274,0
M2R-decoy_280,C[C@H]1CCC/C=C/[C@H]2CC[C@H](O)[C@H](CC(=O)O1)O2,-6.19,-3.814633728738219,-4.499618195096407,-3.81555254563703,-2.5927003060374174,-2.220024196616026,-2.4691187386568387,-3.0494389503275627,-2.7519519609142744,0
M2R-decoy_2800,Cc1ccc(c2nc(NC(=O)c3ccc(S(=O)(=O)N(CCC#N)CCC#N)cc3)sc2c2ccccc2)cc1,-9.447,-7.634633728738219,-8.864618195096407,-6.82855254563703,-5.659700306037418,-6.319024196616025,-5.788118738656838,-5.847438950327563,-7.268951960914274,0
M2R-decoy_2801,CCCCCCCCCCCCC[C@@H]1C[C@@H](OC(=O)[C@@]23CC[C@@](C)(C(=O)O2)C3(C)C)C[C@]2(CCC3(C=CC(=O)C=C3)O2)O1,-8.335,-7.791633728738219,-7.326618195096406,-7.283552545637031,-6.917700306037418,-6.502024196616025,-6.232118738656839,-6.167438950327563,-5.275951960914275,0
M2R-decoy_2802,CS(=O)(=O)c1ccc(c2nc(SCCCOC(=O)/C=C/c3ccccc3)nn2c2ccc(Br)cc2)cc1,-8.892,-8.286633728738218,-9.904618195096406,-7.501552545637031,-6.916700306037418,-6.885024196616026,-6.401118738656839,-6.467438950327562,-5.915951960914274,0
M2R-decoy_2804,CCc1ccccc1NS(=O)(=O)c1cccc2c(NC(=O)/C=C/c3ccc(OC(C)=O)c(OC(C)=O)c3)cccc12,-10.405,-10.104633728738218,-10.010618195096406,-9.01155254563703,-8.736700306037417,-7.619024196616026,-7.418118738656839,-6.939438950327563,-7.391951960914275,0
M2R-decoy_2805,CC(C)=CCC/C(C)=C/COc1ccc(C(=O)OCCCOc2cccc(Nc3nc4ccccc4c(=O)o3)c2)cc1,-10.011,-9.713633728738218,-9.415618195096409,-7.97755254563703,-8.097700306037417,-8.064024196616026,-6.86511873865684,-6.2294389503275625,-7.061951960914275,0
M2R-decoy_2806,COC(=O)/C(C)=C\C[C@@]12OC(C)(C)[C@@H]3C[C@@H](C=C4C(=O)c5c(OC)c6c(c(CC=C(C)C)c5O[C@]431)O[C@](C)(CCC=C(C)C)C=C6)C2=O,-6.702,-6.981633728738219,-5.574618195096407,-7.280552545637031,-4.8377003060374175,-4.417024196616026,-4.244118738656839,-6.821438950327563,-3.394951960914274,0
M2R-decoy_2807,Clc1ccc2c(O/N=C(\C=C\c3ccccn3)/C=C/c3ccccc3OCc3ccccc3Cl)ncnc2c1,-10.589,-10.008633728738218,-10.220618195096408,-8.74955254563703,-8.386700306037417,-8.543024196616026,-6.753118738656839,-8.061438950327563,-7.598951960914274,0
M2R-decoy_2808,CSc1ccc(/C=C2/C(C)=C(CC(=O)N(C)CCN(C)S(=O)(=O)c3ccc(C)cc3)c3cc(F)ccc32)cc1,-11.014,-10.392633728738218,-10.770618195096406,-9.02955254563703,-7.6487003060374175,-8.840024196616026,-7.302118738656839,-7.348438950327562,-8.606951960914275,0
