ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,is_active
M2R-decoy_1154,N#Cc1c(O)nc(N2CCc3ccccc3C2)nc1c1ccc(F)cc1,-9.46615120556824,-6.777487053056179,-8.659885958460297,-6.01341296946887,-4.261815413140858,-7.762295670259016,-4.049929260449298,-3.6573343375175833,-4.838774670961815,0
M2R-decoy_9209,CCC(CC)C(=O)Nc1sc2c(c1C(N)=O)CCC(C(C)(C)CC)C2,-9.45407771307815,-5.9162334809053085,-8.396079316430667,-5.29149983927667,,-4.548202719562166,-4.043783306716098,-2.237658173446543,-5.669022393851604,0
M2R-decoy_8411,CCCn1ncn(c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,-9.44796000295361,-8.103426218705778,-8.392723030548186,-5.1772633025656205,-6.327564466389127,-7.437728875654566,-3.864718953780629,-3.6510842375566823,-5.475129526857664,0
M2R-decoy_8748,CCOC(=O)CCCC/[N+]([O-])=C(/c1cccnc1)c1cccc(C[NH+]2CCc3c(sc4c3C(c3ccccc3Cl)=NC(C)c3nnc(C)n3-4)C2)c1,-9.4475504277851,-6.887652268928348,-9.731708275513906,-6.54863486501531,-5.575432544946848,-6.542522636269887,-3.270696912729199,-5.879400046872443,-5.161780715249355,0
M2R-decoy_746,OC[C@H]1O[C@H](Oc2ccc(c3cccc(O)c3)cc2)[C@@H](O)[C@@H](O)[C@@H]1O,-9.43048657300773,-8.668696753201239,-8.821149237651877,-5.8741714319535205,-6.536089501535457,-6.960357430174817,-5.946761330314688,-4.541810643617603,-5.912006018113864,0
M2R-decoy_2683,CN(C(=O)[C@H](Cc1cnc[nH]1)NC(=O)OCc1ccccc1)[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NO,-9.43006942839519,-7.191423804919658,-6.367593333614416,-6.25839859121283,-1.7966397867319976,-5.174053701017706,-2.9577323785933984,-4.960519137104173,-3.694117102977775,0
M2R-decoy_2606,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1cc(c2ccccc2)no1)CP(=O)(O)[C@@H]([NH3+])CCc1ccccc1,-9.42526291389583,-5.766379723077178,-8.382122419343986,-5.528826945531041,-6.036092856969738,-6.431304714542566,-4.772212615095449,-4.375098123543223,-5.202158545817625,0
M2R-decoy_2725,COc1ccc(C[C@H](NS(=O)(=O)N2CCOCC2)C(=O)N[C@@H](Cc2csc(N)n2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)cc1,-9.42408753131649,-8.803610029673058,-8.652297252228037,-7.286075691308961,-6.729994850940617,-8.861995210848827,-6.991663098143519,-5.8172597444746525,-7.802366126148474,0
M2R-decoy_2765,CCCn1ncn(c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](C)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,-9.42014538594405,-9.103137782198267,-8.708357676494927,-5.0252341427974,-6.510928396221788,-7.269067210579877,-4.234412636538889,-4.519036951786493,-5.717031955494674,0
M2R-decoy_5077,CCOC(=O)[C@H](Cc1ccc(OC)cc1)NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1O)Oc1cccc2ccccc12,-9.41622434993542,-8.402510950028768,-7.972456528977677,-7.37046886921522,-5.399446751244208,-5.260749677093196,-4.7727357758473286,-6.400519051894824,-5.618841006384235,0
ASD01810006,Cc1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-9.41285592620765,-8.83139624774497,-10.054242383485006,-5.84570705002297,-7.255159463375207,-7.959161038434006,-6.096437975651709,-4.604017845003993,-6.835554420740715,1
M2R-decoy_8204,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(c3nc(C(C)C)cs3)nc3c(Cl)c(OC)ccc23)[C@H]2CCCC(=O)N12)C(=O)NS(=O)(=O)C1CC1,-9.3960507804174,-9.34295880344822,-9.587007827471606,-7.09215351525142,-7.930985276710967,-7.624698060295277,-4.124968711367979,-4.676638805548693,-6.199126256518284,0
M2R-decoy_5125,CCC(C)[C@@H](C[NH+](CC(=O)N[C@@H](CCSC)C(=O)[O-])Cc1cccc2ccccc12)NC(=O)Cc1cncn1Cc1ccc2ccccc2c1,-9.3883751661686,-8.337921920717758,-8.479408088281426,-7.138745957537811,-7.215609502628238,-7.669151177630136,-5.926133133382239,-6.081684696116173,-5.311856307841685,0
M2R-decoy_1829,O=C(CSc1cccc[n+]1[O-])Nc1cccc(S(=O)(=O)NC2=[NH+]CCCCC2)c1,-9.38618658055135,,-8.236548544931516,-6.77023581534995,,-7.580494739535466,-4.598976537084509,-4.388316453143603,-5.571139808562055,0
