ligand_id,SMILES,BE_avg,is_active
CCR2-decoy_44,O=C(OCc1ccccc1)C1=C(c2ccccc2)S[C@@H]2CC(=O)N12,-5.447069556458651,0
CCR2-decoy_352,CCCOC(=O)[C@H](Cc1ccccc1)NP(=O)(CO[C@@H]1C=C(F)[C@H](n2cnc3c(N)ncnc32)O1)Oc1ccccc1,-5.439476953099439,0
CCR2-decoy_452,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(O)cc1)C(=O)NC1c2ccccc2C[C@@H]1O,-5.439006274373908,0
CCR2-decoy_243,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)N1CCCCC1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1COc1ccc(F)cc1,-5.432244036024552,0
CCR2-decoy_745,O=C1/C(=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,-5.429477281170113,0
CCR2-decoy_296,CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)cs1,-5.422071793508993,0
ASD10910007,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-5.421960893059297,1
CCR2-decoy_319,CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2cccc(C(C)=O)c2)C(=O)O1)C(C)C,-5.396703864922708,0
CCR2-decoy_277,CCOC(=O)/C=C1\NC(=O)[C@@H]1[C@@H](C)OC(=O)c1cc(OCc2ccccc2)c(OCc2ccccc2)c(OCc2ccccc2)c1,-5.377646874314224,0
CCR2-decoy_614,Cc1cccc(n2ncc(C)c2c2cc3ccncc3s2)n1,-5.374833840678368,0
CCR2-decoy_360,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]C(COC)c4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)C1(CC1)C2,-5.365934859476508,0
CCR2-decoy_306,CC(C)CC(NC(=O)[C@@H](Cc1c(Br)[nH]c2ccccc12)NC(=O)C(CC(C)C)NC(=O)N1[C@@H](C)CCC[C@H]1C)C(=O)[O-],-5.361250592824449,0
CCR2-decoy_361,CC(C)C[C@]1(NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)Cc2cccc(Oc3ccccc3)c2)C(C)C)CNC1=O,-5.342522989453092,0
CCR2-decoy_388,O=C(Cc1cc2ccccc2o1)Cc1nnc(CCSCCc2nnc(NC(=O)Cc3cc4ccccc4o3)s2)s1,-5.332538028134391,0
CCR2-decoy_364,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C[C@@H](NC(=O)c1ccc2ccccc2c1)c1ccccc1)C(=O)[C@@]1(C)CO1,-5.326061201149476,0
CCR2-decoy_457,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](C(=O)NC1c2ccccc2C[C@@H]1O)C(=O)c1ccccc1,-5.319447933162584,0
CCR2-decoy_371,CC(C)COc1cc(C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)[O-])ccc1NC(=O)[C@@H]([NH3+])Cc1ccc2ccccc2c1,-5.310847575208397,0
CCR2-decoy_728,Cc1ccc(C2(c3ccc(O)cc3)C(=O)Nc3c2ccc(F)c3F)cc1,-5.308587675870198,0
CCR2-decoy_228,Cc1ncc(COC(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)C(NC(=O)N(C)Cc2csc(C(C)C)n2)C(C)C)s1,-5.307991908924729,0
CCR2-decoy_28,CSc1nnc(SC2=C([O-])CC(c3ccccc3)CC2=O)s1,-5.299925599159215,0
CCR2-decoy_387,C[C@@H]1CO[C@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C1,-5.295706201790993,0
ASD10910013,O=S(=O)(Nc1cncc(Cl)c1)c1ccc(Cl)c(C(F)(F)F)c1,-5.267361534445004,1
CCR2-decoy_287,Cc1cc(N)cc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC1COC2OCCC12,-5.242386817738992,0
CCR2-decoy_95,Nc1nc(NCCc2cccc(Cl)c2)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,-5.222152302190908,0
CCR2-decoy_286,COc1ccc2c(c1)c(CC(N)=O)c(C)n2Cc1ccccc1OCCCOc1ccccc1Cn1c(C)c(CC(N)=O)c2cc(OC)ccc21,-5.216968844276717,0
CCR2-decoy_216,COc1ccc(C[C@H](NC(=O)[C@H](Cc2ccccc2)N=[N+]=[N-])C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]2(C)CO2)cc1,-5.212365741508127,0
CCR2-decoy_738,O=C(COC(=O)c1ccc2ccccc2c1)c1cc2c3c(c1)CC(=O)N3CCC2,-5.175428858111905,0
CCR2-decoy_236,CC(C)c1nc(COC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)cs1,-5.164702502457355,0
ASD10910014,O=S(=O)(Nc1ccccc1)c1ccc(Cl)c(Cl)c1,-5.141750309029191,1
CCR2-decoy_756,COc1ccc(C2COc3cc(O)cc(O)c3C2=O)cc1,-5.1318325537297,0
CCR2-decoy_307,Cc1cncc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)n1,-5.125984528819531,0
CCR2-decoy_625,O=C(CSc1nc2ccccc2s1)c1ccc(O)c(O)c1,-5.106273726363571,0
CCR2-decoy_626,Fc1ccc(c2nss/c2=N\c2ccccc2)cc1,-5.08342694150543,0
CCR2-decoy_597,COP(=O)([O-])c1ccc(C(F)(F)F)cc1,-5.0757936745791685,0
CCR2-decoy_249,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCO)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,-5.072630594361847,0
CCR2-decoy_191,C=C(C)CN(C1Cc2cc(C#N)ccc2N(Cc2cncn2C)C1)S(=O)(=O)c1ccccc1,-5.070795376273964,0
CCR2-decoy_33,CSc1nc2ccsc2c(=O)n1CC(=O)N(C)c1ccccc1,-5.065747919478451,0
CCR2-decoy_586,O=C1CCCC1n1cc(c2ccc(F)cc2)nn1,-5.0560340597247375,0
CCR2-decoy_354,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(CCCO)cc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,-5.0494837694520935,0
CCR2-decoy_605,COc1nn2cc(c3ccc(F)c(C(F)(F)F)c3)nc2s1,-5.041747685016585,0
CCR2-decoy_616,O=C(CSc1nc2ccccc2[nH]1)c1ccc(O)c(Cl)c1,-5.039111901018475,0
CCR2-decoy_20,Cc1c(C(=O)[O-])cnn1Cc1nc(c2cccc(C(F)(F)F)c2)cs1,-5.037552323077129,0
CCR2-decoy_302,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccn1,-5.0317647809509545,0
CCR2-decoy_131,Cc1ccc(C(=O)OCC2OC(N3C=CSCC3=O)C[C@H]2OC(=O)c2ccc(C)cc2)cc1,-5.0235659590057855,0
CCR2-decoy_488,CSc1nn2cc(c3nc4c(OC[C@@H]5CCCN5C(=O)[C@H](NC(=O)c5ccccc5)c5ccccc5)cccc4o3)nc2s1,-5.021325680452683,0
CCR2-decoy_663,COc1ccccc1c1cc(=O)[nH]c(=S)[nH]1,-5.017858172698727,0
CCR2-decoy_362,COc1ccc(C(=O)/C=C/c2ccc(OCc3cn(C4C(=O)N(c5ccc(C)cc5)C4/C=C/c4ccccc4)nn3)c(OC)c2)cc1,-5.0108177695569465,0
CCR2-decoy_664,N#Cc1ccccc1CSC1=NCCS1,-5.001660481885586,0
CCR2-decoy_666,O=C1CCC[C@@H]([C@H]2C[C@@H]2c2ccccc2)O1,-5.000244608045919,0
CCR2-decoy_377,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSc1ccc(C(F)(F)F)cc1)NS(C)(=O)=O,-4.99820879188552,0
CCR2-decoy_13,O=C(OCc1ccccc1)[C@@H]1COC(c2cccc(Br)c2)=N1,-4.997316385749625,0
CCR2-decoy_761,O=C1NC(c2cccnc2)c2c1[nH]nc2c1ccccc1,-4.993088022637158,0
CCR2-decoy_1,O=C1OC(c2cncnc2)CC([O-])=C1Sc1ccccc1Cl,-4.982228488834272,0
CCR2-decoy_599,O=C([O-])CCCn1c2ccccc2c2ccccc21,-4.981820358395029,0
CCR2-decoy_329,O=C(Nc1ncccn1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncccn4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,-4.962946738753974,0
CCR2-decoy_78,O=c1[nH]c(NC2CCCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1c1nc2ccccc2s1,-4.955563437184242,0
CCR2-decoy_579,Clc1ccc(c2nnnn2c2ccccn2)cc1,-4.943350486731894,0
CCR2-decoy_393,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(NC(=O)/C=C/c3ccccc3)nc2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,-4.9335631210234165,0
CCR2-decoy_589,CC[S+]([O-])C1=CC(=O)c2ccccc2C1=O,-4.925060486228784,0
CCR2-decoy_491,COc1ccc2nc(NC(=O)C(=O)C(C(=O)c3ccccc3c3ccccc3)C3OC(=O)c4ccccc43)sc2c1,-4.923657586373453,0
CCR2-decoy_607,CCc1cccc(NC(=O)C(=O)c2c[nH]c3ccccc23)c1,-4.923544576656002,0
ASD10910017,O=C(O)c1ccccc1Oc1ccc(Cl)cn1,-4.9167114761204775,1
CCR2-decoy_758,O=C(Cc1nc2ccccc2[nH]1)N/N=C/c1ccccc1,-4.914226034319714,0
CCR2-decoy_799,Cc1ccc2c(c1)C(=O)N(Cc1ccc(F)cc1)C2=O,-4.895373731861042,0
CCR2-decoy_708,COc1cc2c(c(O)c1CC=C(C)C)C(=O)[C@H](c1ccc(O)cc1)CO2,-4.893897610989558,0
CCR2-decoy_585,O=C(O/N=C/c1ccc(F)cc1)N1CCOCC1,-4.8936750691806505,0
CCR2-decoy_341,CC[C@H](C)CNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)C(NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12)S(=O)(=O)C(C)C,-4.88661215130259,0
CCR2-decoy_747,CCCCCN1C(=O)C2(CC(=O)c3cc4c(cc32)OCO4)c2ccccc21,-4.883796982286366,0
CCR2-decoy_332,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)Cc1cccc2ccccc12,-4.883527382055267,0
CCR2-decoy_385,CC(C)CC(NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCCc1ccccc1,-4.874235415208,0
CCR2-decoy_707,C[C@@H]1CC[C@H]2[C@H](CCCc3ccccc3)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@]32OO4,-4.867599579866573,0
CCR2-decoy_572,CC(C)Cn1c(S(=O)(=O)[O-])nc2ccccc21,-4.862428452545286,0
CCR2-decoy_12,C=C1C(=O)O[C@@H]2[C@@H]3C(=C(C)C[C@H](OC(=O)/C(C)=C\C)[C@@H]12)C[C@@H]1O[C@@]13C,-4.859032550903848,0
CCR2-decoy_185,O=C(Cc1ccccc1)OC1C=CC(n2ccc(=O)n(Cc3cc(F)cc(F)c3)c2=O)C1,-4.855375597125906,0
CCR2-decoy_751,CC(C)[C@H](NC(=O)c1ccccc1)c1n[nH]c(=S)o1,-4.826065865323174,0
CCR2-decoy_318,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1CN(c2ccc(c3cccc(OC)c3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,-4.82375205445121,0
ASD10910006,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1,-4.820762229968227,1
CCR2-decoy_288,C=CC[C@@H](CC(=O)N[C@@H](CO)Cc1ccccc1)C(=O)NC[C@@H](OC(=O)[C@@H](CC=C)CC(=O)OC(C)(C)C)c1ccccc1,-4.804068835362072,0
CCR2-decoy_688,CC1(C)CC2C=C(C=O)C3(C=O)CC3(C)C2C1,-4.79258682966737,0
CCR2-decoy_426,COC(=O)[C@@]12C[C@@H](CC(=O)NCc3ccc(C)o3)C(=O)N(Cc3cccc4ccccc34)C1=CCC(C)(C)C2,-4.785565410384042,0
CCR2-decoy_779,COc1ccccc1C1NNCc2nc3ccccc3n21,-4.784260476391251,0
CCR2-decoy_26,CC(C)(Sc1nc2cc(Br)ccc2s1)C(=O)[O-],-4.773621457666226,0
CCR2-decoy_782,COc1nn(Cc2cccc(c3ccccc3)c2)c(=O)o1,-4.767588239208923,0
CCR2-decoy_603,Cc1cccc(Cn2nc(C)n3c(cc4cc(C)ccc43)c2=O)c1,-4.764753159391479,0
CCR2-decoy_656,COc1cccc2oc(C(=O)C[S+](C)[O-])cc12,-4.758571159933607,0
CCR2-decoy_784,CCCCCn1nnc2c(=O)oc3ccccc3c21,-4.75548133962443,0
CCR2-decoy_574,CCN1C(=O)C(=O)N(c2c(C)cccc2C)C1=S,-4.7525052683302125,0
CCR2-decoy_788,CC(=O)c1cccc(n2nc(C(C)=O)c(C(C)=O)c2C)c1,-4.7508337730572805,0
CCR2-decoy_368,CC(C)CC(NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1,-4.745969138548629,0
CCR2-decoy_397,COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)c2cccc3ccccc23)c2cccc(OCC(=O)[O-])c2)cc1OC,-4.744884035886217,0
CCR2-decoy_606,O=C1c2ccccc2C(=O)c2c(/C=C\N3CCCCC3)ccnc21,-4.737265266881484,0
CCR2-decoy_453,Cn1cc(c2c(COc3cccc4ccccc34)cc(=O)n3c2SC[C@H]3C(=O)NS(C)(=O)=O)c2ccccc21,-4.736703994545573,0
CCR2-decoy_567,CCc1c(C)sc2ncnc(SCC(=O)[O-])c12,-4.713383901021238,0
CCR2-decoy_711,Nc1cncc(c2ccc3noc(c4ccc(C(F)(F)F)cc4)c3c2)n1,-4.707664633734878,0
CCR2-decoy_258,CCOC(=O)[C@H](Cc1ccccc1)NP(=O)(N[C@@H](Cc1ccccc1)C(=O)OCC)c1ccc(c2nc(N)sc2CC(C)C)o1,-4.684296569176609,0
CCR2-decoy_731,CC(C)(C)c1ccccc1NC(=O)c1c(O)c2cccc3c2n(c1=O)CC3,-4.679184045683061,0
CCR2-decoy_220,CC(C)[C@H](NC(=O)CCc1cccnc1)C(=O)NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)C(F)(F)C(=O)NCc1ccccc1,-4.670907663816078,0
CCR2-decoy_147,O=C([O-])COc1cccc2c1CCC(Cn1ncc(c3ccccc3)c(c3cccc(F)c3)c1=O)C2,-4.67014380375762,0
CCR2-decoy_350,C=CCCNc1nc(NCc2ccc(c3ccccc3)cc2)nc(N2CCC[C@@H]2CNS(=O)(=O)c2ccc(C(F)(F)F)cc2)n1,-4.663669716594435,0
CCR2-decoy_687,O=C(NN=C1CCCC1)c1ccccc1O,-4.660236125682901,0
CCR2-decoy_655,CC(C)c1nccn1CC(=O)c1ccccc1,-4.64737209324454,0
