ligand_id,SMILES,glide_gscore,is_active
b2AR-decoy_590,Clc1ccc(c2csc(N/N=C/c3cccs3)n2)cc1,-8.34236917652952,0
b2AR-decoy_1010,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccc(C(C)(C)C)cc1)c1ccc(F)cc1,-8.34187968363387,0
b2AR-decoy_158,COc1cccc(COc2ccc(C(=O)c3c(OCc4cccc(OC)c4)cc(OC)cc3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)c1,-8.31477800491895,0
b2AR-decoy_861,N#Cc1ccc(c2csc(NN=C3CCCCCC3)n2)cc1,-8.30827424402058,0
b2AR-decoy_333,Clc1ccc(SCc2n[nH]c(c3ccc(Cl)cc3)n2)cc1,-8.2822785976227,0
b2AR-decoy_856,COc1ccc(c2csc(N/N=C(/C)c3cccs3)n2)cc1,-8.28204435917934,0
b2AR-decoy_420,O=C1NC(=O)/C(=C/c2cn(Cc3ccc(F)cc3)c3ccccc23)N1,-8.27759171195513,0
b2AR-decoy_968,Cc1oc(c2ccccc2Cl)nc1CSc1nc(O)c2c(n1)CCC2,-8.27592573332871,0
b2AR-decoy_409,O=C(NC1N=C(c2ccccc2F)c2ccccc2NC1=O)c1ccsc1,-8.26547660814404,0
b2AR-decoy_1840,O=C(/C=C/c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(F)cc2)cc1)NO,-8.26066821612392,0
b2AR-decoy_1653,O=C(/C=C/c1ccccc1)c1ccc(OCc2cc(c3ccccc3)no2)cc1,-8.25870986372274,0
b2AR-decoy_292,CC(=O)N1CCC(C(N)=O)(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,-8.23487835939017,0
b2AR-decoy_870,O=C(c1ccccc1)c1oc2cc(O)ccc2c1c1ccccc1,-8.2344012521381,0
b2AR-decoy_1593,O=C(NCc1ccccc1)C1=C[C@H](c2ccc3c(c2)OCO3)C[C@H](OCc2ccc(CO)cc2)O1,-8.23374287434656,0
b2AR-decoy_735,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(c4ccccc4)cc3)c2O)O1,-8.23280326846771,0
b2AR-decoy_1832,CC[C@@H](NC(=O)c1cc(C(=O)N[C@H](CC)c2ncccn2)c2n1CCOC2)c1ccc(C(F)(F)F)cc1,-8.22099696550943,0
b2AR-decoy_193,CC(C)C[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)B1O[C@@H]2[C@@H](C[C@H]3C[C@@H]2C3(C)C)O1,-8.21412271977745,0
b2AR-decoy_2330,COc1cc(O)cc2occ(c3cc(O)c(O)c(CC=C(C)C)c3)c(=O)c12,-8.20082673265679,0
b2AR-decoy_994,CCC(C)n1nc(C(F)(F)F)cc1/C(CSc1ccccc1)=N/O,-8.19520217628149,0
b2AR-decoy_2346,CC(C)(C)c1ccc(Cn2cc([C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c3ccccc32)cc1,-8.17019646311738,0
b2AR-decoy_3012,CC(SC(C)C(=O)NN=Cc1cccc(Cl)c1)C(=O)NN=Cc1cccc(Cl)c1,-8.15406036355411,0
b2AR-decoy_832,O=c1c2ccc(O)cc2oc(SCc2ccccc2)c1c1ccccc1,-8.15040671810243,0
b2AR-decoy_1391,O=C1c2c(O)cccc2C(=CCCc2ccccc2)c2cccc(O)c21,-8.14821788454181,0
b2AR-decoy_1964,COc1cc(O)c(C(CC(=O)Nc2ccc(C)cc2)c2ccc3c(c2)OCO3)c(OC)c1,-8.14506535673504,0
b2AR-decoy_1957,Cc1ccc(c2nnc(SCC(=O)c3ccc(O)c(O)c3)n2Cc2ccco2)cc1,-8.13469400407043,0
b2AR-decoy_2814,COc1ccc([C@@H]2[C@@H](CCCc3ccccc3)C(=O)N2c2ccc(OC(F)(F)F)cc2)cc1,-8.13051077459197,0
b2AR-decoy_953,O=C(c1cccc(F)c1)c1oc2cc(O)ccc2c1c1cccc2ccccc21,-8.12259885950812,0
b2AR-decoy_20,O=c1cc(c2cccc(Oc3ccccc3)c2)oc2cc(O)ccc12,-8.1189635529096,0
b2AR-decoy_907,Clc1ccc(SCc2n[nH]c(c3ccc(Br)cc3)n2)cc1,-8.11583350462042,0
b2AR-decoy_935,Clc1ccc(c2csc(NN=C3CCCCCC3)n2)c(Cl)c1,-8.11558079991005,0
b2AR-decoy_489,Cc1c(O)ccc(C(=O)/C=C/c2ccc(F)cc2)c1O,-8.11161455489812,0
b2AR-decoy_1994,NC(=O)c1c(F)ccc(OCc2nc(c3ccc(O)cc3)co2)c1F,-8.10263512635755,0
b2AR-decoy_874,CC1CCC(=NNc2nc(c3ccc(C#N)cc3)cs2)CC1,-8.09786211242078,0
b2AR-decoy_2978,Cc1oc(c2ccccc2F)nc1Cn1c(SCc2ccccc2F)nc2ccncc21,-8.09785453995049,0
b2AR-decoy_2140,Cc1ccc(C(=O)NCC(C)/N=C/c2cc(Br)ccc2O)c(O)c1,-8.09561829598198,0
b2AR-decoy_2745,COc1ccc(c2cc(C(F)(F)F)c(C#N)c(SCC(=O)Nc3ccccc3F)n2)cc1,-8.07853683425146,0
b2AR-decoy_406,Cc1cc(O)c(=O)c(O)cc1S(=O)(=O)c1ccc(c2ccccc2)cc1,-8.07527311326879,0
b2AR-decoy_2718,N#Cc1cc(C(=O)N/N=C/c2cccc3c2ccn3Cc2ccc(C(F)(F)F)cc2)ccc1O,-8.06389860951637,0
b2AR-decoy_613,Cc1cc(=O)c(c2ccc(Oc3ccc(Cl)cc3)cc2)c(C)n1O,-8.05280055433782,0
b2AR-decoy_2352,OC[C@H]1O[C@H]2c3cc(Cc4cc5ccccc5s4)c(Cl)cc3O[C@H]2[C@@H](O)[C@@H]1O,-8.04950186953361,0
b2AR-decoy_700,CC(=O)N1N=C(c2ccccc2O)CC1c1ccc(c2ccc(Cl)c(Cl)c2)o1,-8.04845544498263,0
b2AR-decoy_555,CC1(C)CCc2cc(C(=O)/C=C/c3ccc(O)cc3)c(O)cc2O1,-8.04429598111692,0
